time,lat,lon,depth,chla_acs
43583.27292,27.122678,-158.000218,6,0.079072
43583.27222,27.125902,-158.000138,6,0.080209
43583.27153,27.129135,-158.00007,6,0.079995
43583.27083,27.132355,-158.000014,6,0.079311
43583.27014,27.135563,-158.000023,6,0.079672
43583.26944,27.138776,-158.000122,6,0.079616
43583.26875,27.14201,-158.000119,6,0.076101
43583.26806,27.14523,-158.000152,6,0.074296
43583.26736,27.148455,-158.000146,6,0.076307
43583.26667,27.151674,-158.000185,6,0.074299
43583.26597,27.154879,-158.000342,6,0.074461
43583.26528,27.1581,-158.000415,6,0.075001
43583.26458,27.161323,-158.000368,6,0.074192
43583.26389,27.164565,-158.000292,6,0.076606
43583.26319,27.167798,-158.000238,6,0.076519
43583.2625,27.171063,-158.00019,6,0.076267
43583.26181,27.174318,-158.000128,6,0.075674
43583.26111,27.177588,-158.00005,6,0.072749
43583.26042,27.180849,-158.000021,6,0.075845
43583.25972,27.184106,-158.000021,6,0.077959
43583.25903,27.187368,-157.999965,6,0.076273
43583.25833,27.19062,-157.999967,6,0.076868
43583.25764,27.193861,-157.999929,6,0.075596
43583.25694,27.1971,-157.999854,6,0.077981
43583.24931,27.232683,-157.999821,6,0.073154
43583.24861,27.235895,-157.999897,6,0.073207
43583.24792,27.239105,-157.999922,6,0.07288
43583.24722,27.242285,-157.999886,6,0.072853
43583.24653,27.245483,-157.999919,6,0.07298
43583.24583,27.248675,-158.000027,6,0.071321
43583.24514,27.251886,-158.000076,6,0.072534
43583.24444,27.255098,-158.000078,6,0.076779
43583.24375,27.258306,-158.000107,6,0.072386
43583.24306,27.261515,-158.000112,6,0.072333
43583.24236,27.264724,-158.000119,6,0.077203
43583.24167,27.267944,-158.000145,6,0.077337
43583.24097,27.271153,-158.000139,6,0.074038
43583.24028,27.274375,-158.000162,6,0.073102
43583.23958,27.277611,-158.000173,6,0.073483
43583.23889,27.280859,-158.000215,6,0.072189
43583.23819,27.284122,-158.00018,6,0.071811
43583.2375,27.28739,-158.000209,6,0.071768
43583.23681,27.290668,-158.000231,6,0.071302
43583.23611,27.293979,-158.000275,6,0.072135
43583.23542,27.297251,-158.000292,6,0.074149
43583.23472,27.300517,-158.000201,6,0.074389
43583.23403,27.303785,-158.000081,6,0.071646
43583.23333,27.307074,-157.999957,6,0.075844
43583.23264,27.310367,-157.999817,6,0.076052
43583.23194,27.313659,-157.999732,6,0.070799
43583.23125,27.316945,-157.999799,6,0.074696
43583.23056,27.320221,-157.999858,6,0.074462
43583.22986,27.323512,-157.999871,6,0.075846
43583.22917,27.326805,-157.999964,6,0.075145
43583.22847,27.330088,-158.000022,6,0.074289
43583.22778,27.333385,-158.000018,6,0.079609
43583.22708,27.336661,-158.00011,6,0.073938
43583.22639,27.339941,-158.000149,6,0.073828
43583.22569,27.343204,-158.000205,6,0.074718
43583.225,27.34648,-158.000288,6,0.074976
43583.22431,27.349741,-158.00035,6,0.074788
43583.22361,27.35304,-158.000414,6,0.071657
43583.22292,27.356249,-158.000316,6,0.070463
43583.22222,27.359512,-158.000088,6,0.075857
43583.22153,27.362792,-157.999895,6,0.070773
43583.22083,27.366084,-157.999796,6,0.075322
43583.22014,27.369359,-157.999788,6,0.073819
43583.21944,27.372636,-157.999874,6,0.073488
43583.21875,27.375978,-157.999892,6,0.07432
43583.21806,27.379195,-157.999886,6,0.071049
43583.21736,27.382468,-157.999831,6,0.073416
43583.21667,27.385724,-157.999855,6,0.074109
43583.21597,27.388918,-157.999897,6,0.073378
43583.21528,27.392231,-157.999883,6,0.074712
43583.20764,27.428273,-157.999953,6,0.074845
43583.20694,27.431504,-157.999943,6,0.078639
43583.20625,27.434733,-157.999977,6,0.079211
43583.20556,27.437948,-158.000084,6,0.079974
43583.20486,27.441168,-158.000137,6,0.080441
43583.20417,27.444393,-158.000078,6,0.080211
43583.20347,27.447627,-158.000056,6,0.080557
43583.20278,27.450865,-158.000086,6,0.080073
43583.20208,27.454107,-158.000085,6,0.07981
43583.20139,27.457352,-158.000037,6,0.079176
43583.20069,27.46062,-158.000018,6,0.080357
43583.2,27.46388,-158.00006,6,0.082169
43583.19931,27.467144,-158.000013,6,0.080167
43583.19861,27.470411,-158.000051,6,0.080861
43583.19792,27.473685,-158.000117,6,0.076637
43583.19722,27.476956,-158.000046,6,0.080598
43583.19653,27.480249,-158.000016,6,0.08153
43583.19583,27.483554,-157.999924,6,0.080829
43583.19514,27.486874,-157.999905,6,0.081299
43583.19444,27.490205,-157.999938,6,0.083488
43583.19375,27.493539,-157.99993,6,0.082984
43583.19306,27.496873,-157.99989,6,0.077837
43583.19236,27.500198,-157.999867,6,0.076613
43583.19167,27.503542,-157.999942,6,0.076409
43583.19097,27.506879,-157.999935,6,0.076457
43583.19028,27.510199,-157.999895,6,0.082288
43583.18958,27.513516,-157.999845,6,0.082435
43583.18889,27.516827,-157.999781,6,0.082703
43583.18819,27.520136,-157.999813,6,0.085508
43583.1875,27.523445,-157.999849,6,0.082084
43583.18681,27.52675,-157.99986,6,0.085658
43583.18611,27.530045,-157.999814,6,0.079076
43583.18542,27.533345,-157.999783,6,0.080757
43583.18472,27.536637,-157.99984,6,0.080431
43583.18403,27.539921,-157.999884,6,0.079769
43583.18333,27.543197,-157.999888,6,0.076229
43583.18264,27.546485,-157.999943,6,0.078334
43583.18194,27.549781,-157.99998,6,0.082442
43583.18125,27.553068,-158.000016,6,0.077953
43583.18056,27.55634,-158.000005,6,0.078955
43583.17986,27.559612,-158.000022,6,0.078794
43583.17917,27.562865,-158.000043,6,0.082465
43583.17847,27.566126,-158.000036,6,0.079585
43583.17778,27.569378,-157.999939,6,0.078101
